RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3
NZ_CP015832,"Escherichia coli O157 strain 180-PT54, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(1.0, 378.0)",,,
NZ_CP015834,"Escherichia coli strain MS6198, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(4316989.0, 4317366.0)",,,
NZ_CP015839,"Marinobacterium sp. ST58-10, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Marinobacterium","(5182176.0, 5183215.0)",,,
NZ_CP015843,"Escherichia coli O157:H7 strain FRIK2455, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(4892321.0, 4892698.0)",,,
NZ_CP015846,"Escherichia coli O157:H7 strain FRIK2069, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(4892313.0, 4892690.0)",,,
NZ_CP015852,"Pseudomonas koreensis strain CRS05-R5 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(5982742.0, 5983311.0)",,,
NZ_CP015863,"Vibrio campbellii CAIM 519 = NBRC 15631 strain ATCC 25920, CAIM 519T chromosome 1, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(74534.0, 75002.0)",,,
NZ_CP015880,"Ensifer adhaerens strain Casida A chromosome, complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium/Ensifer group, Ensifer","(3667197.0, 3667603.0)",,,
NZ_CP015912,"Escherichia coli strain 210205630 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(2880644.0, 2881021.0)",,,
NZ_CP015923,"Salmonella enterica subsp. enterica serovar Newport str. Levine 1, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4802988.0, 4803365.0)",,,
NZ_CP015972,"Xanthomonas citri pv. glycines str. 12-2 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xanthomonas","(2748.0, 3798.0)",,,
NZ_CP015986,"Sphingobium sp. EP60837 chromosome 1, complete sequence.","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingobium","(1493226.0, 1493512.0)",,,
NZ_CP015995,"Escherichia coli strain S51, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(4953305.0, 4953682.0)",,,
NZ_CP016007,"Escherichia coli strain NGF1, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(2527794.0, 2528171.0)",,,
NZ_CP016010,"Salmonella enterica subsp. enterica serovar Newport strain CFSAN001660, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4795063.0, 4795440.0)",,,
NZ_CP016012,"Salmonella enterica subsp. enterica serovar Newport strain CFSAN003890, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4863237.0, 4863614.0)",,,
NZ_CP016014,"Salmonella enterica subsp. enterica serovar Newport strain CFSAN003387, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4712149.0, 4712526.0)",,,
NZ_CP016018,"Escherichia coli strain ER1821R, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(4553328.0, 4553705.0)",,,
NZ_CP016043,"Edwardsiella hoshinae strain ATCC 35051 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Hafniaceae, Edwardsiella","(3780462.0, 3780857.0)",,,
NZ_CP016044,"Edwardsiella piscicida strain S11-285 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Hafniaceae, Edwardsiella","(3891345.0, 3891740.0)",,,
NZ_CP016077,"Actinoalloteichus sp. GBA129-24 chromosome, complete genome.","Bacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Actinoalloteichus","(2121.0, 2958.0)",,,
NZ_CP016170,"Bordetella bronchialis strain AU3182, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(5846026.0, 5848781.0)",,,
NZ_CP016171,"Bordetella bronchialis strain AU17976, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(5934211.0, 5936964.0)",,,
NZ_CP016172,"Bordetella flabilis strain AU10664, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(5801570.0, 5803980.0)",,,
NZ_CP016176,"Xenorhabdus hominickii strain ANU1, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Morganellaceae, Xenorhabdus","(3345259.0, 3345633.0)",,,
NZ_CP016182,"Escherichia coli strain EC590 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(360250.0, 360627.0)",,,
NZ_CP016210,"Azoarcus olearius strain DQS4, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Zoogloeaceae, Azoarcus","(4436121.0, 4436511.0)",,,
NZ_CP016224,"Vibrio alginolyticus strain ZJ-T chromosome 1, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(3299579.0, 3300053.0)",,,
NZ_CP016294,"Stenotrophomonas rhizophila strain QL-P4, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas","(163316.0, 164111.0)",,,
NZ_CP016303,"Candidatus Hamiltonella defensa (Bemisia tabaci) strain MEAM1, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, aphid secondary symbionts, Candidatus Hamiltonella","(746730.0, 747043.0)",,,
NZ_CP016305,"Rickettsia sp. MEAM1 (Bemisia tabaci), complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia","(614973.0, 615364.0)",,,
NZ_CP016306,"Sphingomonas sp. KC8 chromosome, complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas","(2646232.0, 2646545.0)",,,
NZ_CP016337,"Kosakonia sacchari strain BO-1 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Kosakonia","(3151668.0, 3152039.0)",,,
NZ_CP016338,"Bordetella pertussis strain B202, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4127256.0, 4128979.0)",,,
NZ_CP016341,"Bordetella holmesii strain H903, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(3693028.0, 3694378.0)",,,
NZ_CP016342,"Bordetella parapertussis strain H904, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4771918.0, 4773708.0)",,,
NZ_CP016345,"Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 chromosome 1, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(3233842.0, 3234317.0)",,,
NZ_CP016347,"Vibrio natriegens strain CCUG 16371 chromosome 1, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(3303772.0, 3304247.0)",,,
NZ_CP016349,"Vibrio natriegens strain CCUG 16373 chromosome 1, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(3490535.0, 3491010.0)",,,
NZ_CP016357,"Salmonella enterica subsp. enterica serovar Newport str. WA_14882, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4677720.0, 4678097.0)",,,
NZ_CP016358,"Escherichia coli strain K-15KW01 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(2627211.0, 2627588.0)",,,
NZ_CP016380,"Aeromonas hydrophila strain AHNIH1 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae, Aeromonas","(4890779.0, 4891287.0)",,,
NZ_CP016385,"Salmonella enterica subsp. enterica serovar Typhimurium strain 13-931, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4080136.0, 4080513.0)",,,
NZ_CP016392,"Aeromonas hydrophila strain GYK1, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae, Aeromonas","(4936428.0, 4936936.0)",,,
NZ_CP016404,"Escherichia coli strain 210221272 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(1.0, 378.0)",,,
NZ_CP016406,"Salmonella enterica subsp. enterica serovar Infantis strain FSIS1502169, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(222672.0, 223049.0)",,,
NZ_CP016408,"Salmonella enterica subsp. enterica serovar Infantis strain FSIS1502916, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4498792.0, 4499169.0)",,,
NZ_CP016410,"Salmonella enterica subsp. enterica serovar Infantis strain N55391, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4538919.0, 4539296.0)",,,
NZ_CP016412,"Salmonella enterica subsp. enterica serovar Infantis strain CVM44454, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(228874.0, 229251.0)",,,
NZ_CP016431,"Bordetella bronchiseptica strain I328 chromosome, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(5075630.0, 5077489.0)",,,
NZ_CP016440,"Bordetella pseudohinzii strain HI4681 chromosome, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4461684.0, 4462781.0)",,,
NZ_CP016447,"Acidovorax sp. RAC01 chromosome, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax","(1072557.0, 1073440.0)",,,
NZ_CP016450,"Sinorhizobium sp. RAC02 chromosome, complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium/Ensifer group, Sinorhizobium","(3267221.0, 3267624.0)",,,
NZ_CP016456,"Sphingobium sp. RAC03 chromosome, complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingobium","(1474682.0, 1474977.0)",,,
NZ_CP016497,"Escherichia coli strain UPEC 26-1 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(3758577.0, 3758954.0)",,,
NZ_CP016504,"Salmonella enterica subsp. enterica serovar Heidelberg strain SH12-007 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4014149.0, 4014526.0)",,,
NZ_CP016507,"Salmonella enterica subsp. enterica serovar Heidelberg strain SH12-003 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4014149.0, 4014526.0)",,,
NZ_CP016510,"Salmonella enterica subsp. enterica serovar Heidelberg strain SH14-028 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4013327.0, 4013704.0)",,,
NZ_CP016514,"Salmonella enterica subsp. enterica serovar Heidelberg strain 11-004736-1-7 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4014257.0, 4014634.0)",,,
NZ_CP016517,"Salmonella enterica subsp. enterica serovar Heidelberg strain CE-R2-11-0435 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4014262.0, 4014639.0)",,,
NZ_CP016521,"Salmonella enterica subsp. enterica serovar Heidelberg strain SA02DT09004001 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4011814.0, 4012191.0)",,,
NZ_CP016525,"Salmonella enterica subsp. enterica serovar Heidelberg strain 09-036813-1A chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4014184.0, 4014561.0)",,,
NZ_CP016530,"Salmonella enterica subsp. enterica serovar Heidelberg strain SA01AB09084001 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4014258.0, 4014635.0)",,,
NZ_CP016546,"Escherichia coli strain O177:H21 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(2367337.0, 2367714.0)",,,
NZ_CP016553,"Aggregatibacter actinomycetemcomitans strain IDH781, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Aggregatibacter","(522518.0, 522945.0)",,,
NZ_CP016556,"Vibrio coralliilyticus strain 58 chromosome 1, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(1995445.0, 1995892.0)",,,
NZ_CP016559,"Streptomyces clavuligerus strain F613-1 chromosome, complete genome.","Bacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces","(3465360.0, 3465604.0)",,,
NZ_CP016561,"Salmonella enterica subsp. enterica serovar Heidelberg strain A3ES40 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4014036.0, 4014413.0)",,,
NZ_CP016563,"Salmonella enterica subsp. enterica serovar Heidelberg strain A3EZ223 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4014036.0, 4014413.0)",,,
NZ_CP016565,"Salmonella enterica subsp. enterica serovar Heidelberg strain AMR588-04-00318, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4014271.0, 4014648.0)",,,
NZ_CP016569,"Salmonella enterica subsp. enterica serovar Heidelberg strain AMR588-04-00320 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4014524.0, 4014901.0)",,,
NZ_CP016573,"Salmonella enterica subsp. enterica serovar Heidelberg strain AMR588-04-00435 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4014262.0, 4014639.0)",,,
NZ_CP016576,"Salmonella enterica subsp. enterica serovar Heidelberg strain AMR588-04-00437 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4014263.0, 4014640.0)",,,
NZ_CP016579,"Salmonella enterica subsp. enterica serovar Heidelberg strain SH13-006 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4013137.0, 4013514.0)",,,
NZ_CP016581,"Salmonella enterica subsp. enterica serovar Heidelberg strain SH14-009 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4013328.0, 4013705.0)",,,
NZ_CP016586,"Salmonella enterica subsp. enterica serovar Heidelberg strain SH13-004 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4013138.0, 4013515.0)",,,
NZ_CP016625,"Escherichia coli O157:H7 strain FRIK944, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(4996694.0, 4997071.0)",,,
NZ_CP016628,"Escherichia coli strain FORC_041, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(4819673.0, 4820050.0)",,,
NZ_CP016754,"Salmonella enterica subsp. enterica serovar Enteritidis strain FORC_052 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(4651363.0, 4651740.0)",,,
NZ_CP016755,"Escherichia coli strain FORC_044 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(5434235.0, 5434612.0)",,,
NZ_CP016762,"Citrobacter freundii strain B38 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Citrobacter, Citrobacter freundii complex","(5099579.0, 5099951.0)",,,
NZ_CP016828,"Escherichia coli strain FORC_043 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(5197030.0, 5197407.0)",,,
NZ_CP016837,"Salmonella enterica subsp. enterica serovar Senftenberg strain 775W chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Salmonella","(1.0, 378.0)",,,
NZ_CP016878,"Xanthomonas hortorum strain B07-007 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xanthomonas","(3587393.0, 3588119.0)",,,
NZ_CP016889,"Pantoea agglomerans strain C410P1 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Erwiniaceae, Pantoea, Pantoea agglomerans group","(1491203.0, 1491634.0)",,,
NZ_CP016928,"Dickeya solani RNS 08.23.3.1.A chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Pectobacteriaceae, Dickeya","(2751993.0, 2752370.0)",,,
NZ_CP016931,"Yersinia enterocolitica strain YE165 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Yersinia","(4644627.0, 4645006.0)",,,
NZ_CP016935,"Yersinia enterocolitica strain YE7 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Yersinia","(4620063.0, 4620442.0)",,,
NZ_CP016937,"Yersinia enterocolitica strain YE6 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Yersinia","(654073.0, 654452.0)",,,
NZ_CP016940,"Yersinia enterocolitica strain YE5 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Yersinia","(4552539.0, 4552918.0)",,,
NZ_CP016944,"Yersinia enterocolitica strain YE3 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Yersinia","(4624221.0, 4624600.0)",,,
NZ_CP016945,"Yersinia enterocolitica strain YE1 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Yersinia","(4627073.0, 4627452.0)",,,
NZ_CP016948,"Serratia sp. YD25 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Serratia","(4431090.0, 4431469.0)",,,
NZ_CP016952,"Citrobacter freundii strain SL151 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Citrobacter, Citrobacter freundii complex","(1025466.0, 1025838.0)",,,
NZ_CP016954,"Cutibacterium avidum strain DPC 6544 chromosome, complete genome.","Bacteria, Actinobacteria, Propionibacteriales, Propionibacteriaceae, Cutibacterium","(1601107.0, 1601432.0)",,,
NZ_CP016956,"Bordetella pertussis strain E945, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4126112.0, 4127835.0)",,,
NZ_CP016957,"Bordetella pertussis strain B226, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4124314.0, 4126037.0)",,,
NZ_CP016958,"Bordetella pertussis strain E537, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4108867.0, 4110590.0)",,,
NZ_CP016959,"Bordetella pertussis strain D422, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4105718.0, 4107441.0)",,,
NZ_CP016960,"Bordetella pertussis strain D735, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4104575.0, 4106298.0)",,,
NZ_CP016961,"Bordetella pertussis strain C934, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4102574.0, 4104297.0)",,,
NZ_CP016962,"Bordetella pertussis strain E898, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4101516.0, 4103239.0)",,,
NZ_CP016963,"Bordetella pertussis strain D799, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4101473.0, 4103196.0)",,,
NZ_CP016964,"Bordetella pertussis strain D717, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4100532.0, 4102255.0)",,,
NZ_CP016965,"Bordetella pertussis strain F013, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4099522.0, 4101245.0)",,,
NZ_CP016966,"Bordetella pertussis strain E541, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4103613.0, 4105336.0)",,,
NZ_CP016967,"Bordetella pertussis strain E025, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4099409.0, 4101132.0)",,,
NZ_CP016968,"Bordetella pertussis strain D925, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4104669.0, 4106392.0)",,,
NZ_CP017020,"Xanthomonas citri pv. malvacearum strain MSCT chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xanthomonas","(2747.0, 3798.0)",,,
NZ_CP017040,"Propionibacterium sp. oral taxon 193 strain F0672 chromosome, complete genome.","Bacteria, Actinobacteria, Propionibacteriales, Propionibacteriaceae, Propionibacterium","(1405066.0, 1406621.0)",,,
NZ_CP017075,"Novosphingobium resinovorum strain SA1, complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium","(2907814.0, 2908159.0)",,,
NZ_CP017087,"Enterobacter sp. HK169, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Enterobacter","(2914357.0, 2914730.0)",,,
NZ_CP017100,"Escherichia coli strain K-12 NEB 5-alpha chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Escherichia","(3866181.0, 3866558.0)",,,
NZ_CP017119,"Bordetella pertussis strain J160 chromosome, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4110904.0, 4112627.0)",,,
NZ_CP017120,"Bordetella pertussis strain J209 chromosome, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4105777.0, 4107500.0)",,,
NZ_CP017121,"Bordetella pertussis strain J172 chromosome, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4105652.0, 4107375.0)",,,
NZ_CP017122,"Bordetella pertussis strain J154 chromosome, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4104644.0, 4106367.0)",,,
NZ_CP017123,"Bordetella pertussis strain J153 chromosome, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4104642.0, 4106365.0)",,,
NZ_CP017143,"Aeromonas salmonicida subsp. masoucida strain RFAS1 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae, Aeromonas","(881245.0, 881753.0)",,,
NZ_CP017158,"Bordetella pertussis strain J165, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4109913.0, 4111636.0)",,,
NZ_CP017159,"Bordetella pertussis strain J226, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4105642.0, 4107365.0)",,,
NZ_CP017160,"Bordetella pertussis strain J223, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4105405.0, 4107128.0)",,,
NZ_CP017161,"Bordetella pertussis strain J151, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4104718.0, 4106441.0)",,,
NZ_CP017162,"Bordetella pertussis strain J109, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4104620.0, 4106343.0)",,,
NZ_CP017163,"Bordetella pertussis strain J108, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4104603.0, 4106326.0)",,,
NZ_CP017164,"Bordetella pertussis strain J224, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4104466.0, 4106189.0)",,,
NZ_CP017165,"Bordetella pertussis strain J222, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4104286.0, 4106009.0)",,,
NZ_CP017166,"Bordetella pertussis strain J170, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4103592.0, 4105315.0)",,,
NZ_CP017167,"Bordetella pertussis strain J308, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4101513.0, 4103236.0)",,,
NZ_CP017168,"Bordetella pertussis strain J310, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4100455.0, 4102178.0)",,,
